pickup_DT,fare_amount
2015-01-27 13:08:24,8.62
2015-01-27 13:08:24,9.11
2011-10-08 11:53:44,5.54
2012-12-01 21:12:12,7.65
2012-12-01 21:12:12,13.64
2012-12-01 21:12:12,9.66
2011-10-06 12:10:20,5.98
2011-10-06 12:10:20,50.68
2011-10-06 12:10:20,11.71
2014-02-18 15:22:20,6.62
2014-02-18 15:22:20,8.62
2014-02-18 15:22:20,13.86
2010-03-29 20:20:32,5.71
2010-03-29 20:20:32,7.52
2011-10-06 03:59:12,9.28
2011-10-06 03:59:12,13.0
2012-07-15 16:45:04,5.52
2012-07-15 16:45:04,9.31
2012-07-15 16:45:04,5.84
2012-07-15 16:45:04,5.93
2014-10-29 02:09:56,9.32
2014-06-14 13:39:00,8.38
2014-06-14 13:39:00,6.88
2014-06-14 13:39:00,8.61
2014-06-14 13:39:00,15.01
2014-06-14 13:39:00,6.16
2014-06-14 13:39:00,34.4
2014-06-14 13:39:00,21.22
2014-06-14 13:39:00,6.46
2014-06-14 13:39:00,13.44
2014-06-14 13:39:00,9.22
2014-06-14 13:39:00,6.4
2014-06-14 13:39:00,6.27
2014-06-14 13:39:00,9.33
2014-06-14 13:39:00,8.18
2014-06-14 13:39:00,7.31
2014-06-14 13:39:00,6.44
2014-06-14 13:39:00,6.04
2014-06-14 13:39:00,7.76
2014-06-14 13:39:00,5.17
2014-06-14 13:39:00,16.3
2014-06-14 13:39:00,9.03
2014-06-14 13:39:00,16.81
2014-06-14 13:39:00,8.85
2014-06-14 13:39:00,5.36
2014-06-14 13:39:00,9.59
2014-06-14 13:39:00,6.18
2014-06-14 13:39:00,6.32
2014-06-14 13:39:00,6.97
2014-06-14 13:39:00,5.9
2014-06-14 13:39:00,11.07
2014-06-14 13:39:00,11.81
2014-06-14 13:39:00,16.17
2014-06-14 13:39:00,6.31
2014-06-14 13:39:00,7.2
2014-06-14 13:39:00,12.79
2014-06-14 13:39:00,10.21
2014-06-14 13:39:00,9.54
2014-06-14 13:39:00,11.94
2014-06-14 13:39:00,11.05
2014-06-14 13:39:00,8.39
2014-06-14 13:39:00,9.06
2014-06-14 13:39:00,5.69
2014-06-14 13:39:00,6.0
2014-06-14 13:39:00,7.55
2014-06-14 13:39:00,6.64
2014-06-14 13:39:00,9.07
2014-06-14 13:39:00,5.68
2014-06-14 13:39:00,5.74
2014-06-14 13:39:00,13.57
2014-06-14 13:39:00,7.34
2014-06-14 13:39:00,5.58
2014-06-14 13:39:00,11.28
2014-06-14 13:39:00,6.8
2014-06-14 13:39:00,9.27
2014-06-14 13:39:00,11.16
2014-06-14 13:39:00,39.71
2014-06-14 13:39:00,5.09
2014-06-14 13:39:00,5.1
2014-06-14 13:39:00,5.36
2014-06-14 13:39:00,7.09
2014-06-14 13:39:00,6.41
2014-06-14 13:39:00,6.9
2014-06-14 13:39:00,9.78
2014-06-14 13:39:00,15.26
2014-06-14 13:39:00,5.71
2014-06-14 13:39:00,5.45
2014-06-14 13:39:00,6.9
2014-06-14 13:39:00,15.52
2014-06-14 13:39:00,9.15
2014-06-14 13:39:00,9.18
2014-06-14 13:39:00,8.4
2014-06-14 13:39:00,6.92
2014-06-14 13:39:00,5.99
2014-06-14 13:39:00,11.51
2014-06-14 13:39:00,11.38
2014-06-14 13:39:00,10.62
2014-06-14 13:39:00,11.95
2014-06-14 13:39:00,7.1
2014-06-14 13:39:00,8.89
2014-06-14 13:39:00,10.45
2014-06-14 13:39:00,7.5
2014-06-14 13:39:00,48.41
2014-06-14 13:39:00,6.61
2014-06-14 13:39:00,8.75
2014-06-14 13:39:00,4.78
2014-06-14 13:39:00,9.85
2014-06-14 13:39:00,9.25
2014-06-14 13:39:00,9.77
2014-06-14 13:39:00,31.07
2014-06-14 13:39:00,26.45
2014-06-14 13:39:00,15.54
2014-06-14 13:39:00,11.54
2014-06-14 13:39:00,9.04
2014-06-14 13:39:00,5.97
2014-06-14 13:39:00,6.74
2014-06-14 13:39:00,20.41
2014-06-14 13:39:00,8.05
2014-06-14 13:39:00,7.12
